Date,Open,High,Low,Close,Adj Close,Volume
7/2/2019,43.060001,45,42.75,44.98,44.98,16703600
7/3/2019,45.360001,45.48,43.799999,43.889999,43.889999,14237500
7/5/2019,44.07,45.110001,43.549999,45.060001,45.060001,16172000
7/6/2019,44.91,46.75,44.610001,46.650002,46.650002,23740700
7/9/2019,46.740002,46.900002,42.080002,44.139999,44.139999,107582400
7/10/2019,44.200001,45.259998,43.630001,43.75,43.75,38467400
7/11/2019,42.630001,44.099998,42.220001,43.869999,43.869999,35100100
7/12/2019,44.799999,45.34,44.360001,45.259998,45.259998,27078500
7/13/2019,45.279999,45.32,43.93,44.490002,44.490002,16426700
7/16/2019,44.299999,44.73,43.91,44.259998,44.259998,13012800
7/17/2019,43.59,45.259998,43.150002,44.709999,44.709999,20122300
7/18/2019,44.189999,44.75,42.740002,43.34,43.34,26536800
7/19/2019,43.27,43.869999,43.110001,43.439999,43.439999,13366800
7/20/2019,43.5,44.130001,43.23,43.419998,43.419998,10437700
7/23/2019,43.450001,43.849998,42.400002,43.310001,43.310001,15251200
7/24/2019,43.77,43.799999,41.59,42.169998,42.169998,22433900
7/25/2019,42.349998,44.389999,42.349998,44.220001,44.220001,25140700
7/26/2019,42.869999,43.41,42.139999,42.939999,42.939999,30018700
7/27/2019,37.25,37.470001,33.900002,34.119999,34.119999,122752800
7/30/2019,34.169998,34.259998,31.07,31.379999,31.379999,77852400
7/31/2019,31.950001,32.48,31.07,31.870001,31.870001,64392200
8/1/2019,32.25,32.59,31.459999,31.91,31.91,33231700
8/2/2019,31.58,32.869999,31.34,32.82,32.82,27088000
8/3/2019,32.580002,32.990002,31.799999,31.959999,31.959999,26317000
8/6/2019,31.82,33.040001,31.450001,32.98,32.98,27512400
8/7/2019,33.099998,33.610001,32.549999,32.669998,32.669998,24635600
8/8/2019,32.75,32.779999,31.809999,31.84,31.84,22539400
8/9/2019,31.85,32.380001,31.610001,31.959999,31.959999,17662100
8/10/2019,31.65,32.25,31.469999,32.009998,32.009998,16073900
8/13/2019,32.040001,33.619999,32.02,32.799999,32.799999,44235300
8/14/2019,33.400002,33.43,32.52,33.189999,33.189999,26442600
8/15/2019,32.810001,33.23,31.950001,32.380001,32.380001,26433400
8/16/2019,32.700001,33.150002,32.419998,32.830002,32.830002,20873200
8/17/2019,32.740002,33.09,32.34,32.73,32.73,14874600
8/20/2019,32.790001,32.939999,32.200001,32.599998,32.599998,16535700
8/21/2019,32.75,34.139999,32.599998,33.689999,33.689999,29575700
8/22/2019,33.450001,34.169998,33.349998,33.810001,33.810001,18576300
8/23/2019,33.900002,34.740002,33.720001,33.880001,33.880001,25746300
8/24/2019,34,34.490002,33.93,34.279999,34.279999,15214000
8/27/2019,34.66,36,34.48,35.889999,35.889999,28306300
8/28/2019,35.98,36.040001,34.889999,35.490002,35.490002,22281600
8/29/2019,35.41,35.599998,34.810001,35.349998,35.349998,17697200
8/30/2019,35.27,36.150002,35.209999,35.639999,35.639999,19217200
8/31/2019,35.57,35.720001,34.59,35.18,35.18,19073900
9/4/2019,34.75,35.130001,34.48,34.84,34.84,13567600
9/5/2019,34.650002,34.700001,32.509998,32.73,32.73,36051100
9/6/2019,32.860001,32.950001,30.620001,30.809999,30.809999,36023600
9/7/2019,30.309999,31.389999,29.82,30.49,30.49,31484200
9/10/2019,30.5,30.6,29.950001,30.540001,30.540001,17805800
9/11/2019,30.440001,31.440001,30.35,30.889999,30.889999,16000100
9/12/2019,30.610001,30.83,29.25,29.75,29.75,29845200
9/13/2019,30.1,30.57,29.860001,30.389999,30.389999,18522500
9/14/2019,30.450001,30.77,30.059999,30.120001,30.120001,13474700
9/17/2019,29.049999,29.280001,28.43,28.860001,28.860001,30592300
9/18/2019,28.84,29.629999,28.75,29.219999,29.219999,15856800
9/19/2019,29.15,29.559999,28.82,29.52,29.52,16023500
9/20/2019,29.700001,30.02,29.24,29.85,29.85,15378000
9/21/2019,29.860001,29.950001,28.49,28.5,28.5,43122600
9/24/2019,28.33,29.120001,27.93,28.6,28.6,20249000
9/25/2019,28.75,29.24,28.440001,29.110001,29.110001,16130300
9/26/2019,29.200001,29.450001,28.799999,29.01,29.01,12742100
9/27/2019,29.059999,29.690001,28.879999,29.42,29.42,14830500
9/28/2019,29.25,29.280001,28.41,28.459999,28.459999,22719600
10/1/2019,28.51,28.700001,28,28.309999,28.309999,20538900
10/2/2019,28.139999,28.620001,27.91,28.190001,28.190001,17714400
10/3/2019,28.379999,29.120001,28.25,29.01,29.01,19358700
10/4/2019,28.75,28.76,27.870001,28.23,28.23,21120400
10/5/2019,28.34,28.959999,27.969999,28.389999,28.389999,28996100
10/8/2019,28.209999,28.940001,27.719999,28.450001,28.450001,22114400
10/9/2019,28.700001,29.57,28.34,29.27,29.27,22749300
10/10/2019,29.120001,29.120001,26.76,26.790001,26.790001,40399400
10/11/2019,26.35,27.58,26.190001,27,27,33065300
10/12/2019,28.09,28.17,27.26,27.99,27.99,27127500
10/15/2019,27.85,29.049999,27.59,28.610001,28.610001,20225200
10/16/2019,29.1,29.889999,28.84,29.870001,29.870001,18443000
10/17/2019,29.950001,30.139999,28.959999,29.549999,29.549999,19379400
10/18/2019,29.4,30.24,28.98,29.290001,29.290001,24174300
10/19/2019,29.33,29.790001,28.68,28.83,28.83,20112900
10/22/2019,29.049999,29.280001,28.309999,29.18,29.18,21719400
10/23/2019,28.48,29.02,28.07,28.77,28.77,26503600
10/24/2019,28.85,29.77,27.309999,27.540001,27.540001,37910200
10/25/2019,31.32,33.669998,30.76,31.799999,31.799999,79251000
10/26/2019,31.200001,33.139999,30.940001,32.360001,32.360001,47747000
10/29/2019,32.459999,33.75,31.620001,32.389999,32.389999,40899900
10/30/2019,31.77,34.549999,31.299999,33.860001,33.860001,43678200
10/31/2019,34.369999,35.639999,34.349998,34.75,34.75,33063700
11/1/2019,34.599998,34.91,33.82,34.619999,34.619999,27498000
11/2/2019,34.869999,35.349998,33.849998,34.299999,34.299999,23994800
11/5/2019,34.259998,34.279999,33.369999,34.02,34.02,18214300
11/6/2019,33.959999,34.810001,33.84,34.419998,34.419998,15508300
11/7/2019,34.75,35.119999,34.380001,34.990002,34.990002,16802100
11/8/2019,34.880001,34.990002,33.869999,34.18,34.18,15146400
11/9/2019,33.75,34.419998,33.389999,34.080002,34.080002,16034700
11/12/2019,34,34.099998,31.780001,32.009998,32.009998,18147500
11/13/2019,32.240002,32.849998,31.469999,32.490002,32.490002,17206300
11/14/2019,32.889999,33.849998,32.75,32.91,32.91,19448700
11/15/2019,32.790001,33.360001,32.619999,33.150002,33.150002,16824800
11/16/2019,32.830002,33.919998,32.599998,33.669998,33.669998,17904100
11/19/2019,33.560001,33.599998,31.84,31.98,31.98,15745000
11/20/2019,29.969999,31.74,29.940001,31.059999,31.059999,20927600
11/21/2019,31.67,32.080002,31.1,31.610001,31.610001,16466900
11/23/2019,31.299999,31.959999,31.110001,31.120001,31.120001,5813900
11/26/2019,31.6,32.869999,31.52,32.82,32.82,17096000
11/27/2019,32.439999,33.099998,32.360001,32.610001,32.610001,10727400
11/28/2019,33,33,31.719999,32.73,32.73,19073300
11/29/2019,32.459999,32.540001,29.870001,31.299999,31.299999,50505700
11/30/2019,31.15,31.549999,30.110001,31.450001,31.450001,25833200
12/3/2019,32.240002,33.849998,32.209999,33.66,33.66,24027100
12/4/2019,33.279999,34.16,32.5,32.560001,32.560001,22472000
12/6/2019,32.459999,32.970001,31.110001,32.959999,32.959999,25922800
12/7/2019,32.84,34.369999,32.669998,32.830002,32.830002,29497100
12/10/2019,32.73,33.639999,32.259998,33.43,33.43,19971100
12/11/2019,34.130001,35.75,33.880001,34.450001,34.450001,30118600
12/12/2019,34.970001,37.139999,34.849998,36.25,36.25,32608500
12/13/2019,36.400002,36.490002,35.299999,35.889999,35.889999,22831600
12/14/2019,35.25,36.619999,35.049999,35.869999,35.869999,19528500
12/17/2019,35.68,35.700001,33.200001,33.43,33.43,23880900
12/18/2019,33.630001,34.169998,33.080002,33.740002,33.740002,18885100
